Product_ID,Product_Name,Category,Ingredients,Form,Certified_Organic,Ayurvedic_Use,Price,Stock_Quantity,Rating,Brand,Origin,Vegan,Date_Added,Is_Bestseller,Description,Directions_To_Use,Health_Benefits
P001,Tulsi Gel - Patanjali,Beverages,"Tulsi, Honey",Gel,Yes,Yes,381.41,366,4.6,Patanjali,India,No,2025-07-01,Yes,Agent every development say quality throughout beautiful.,All behavior discussion own night respond red information last.,Speak according south recently future.
P002,Ashwagandha Tablet - 24 Mantra,Beverages,"Ashwagandha, Aloe Vera",Tablet,Yes,Yes,372.21,379,4.3,24 Mantra,USA,No,2025-07-01,Yes,Whatever from behavior benefit suggest page southern role.,By two bad fall pick those gun court attorney product.,World talk term herself law.
P003,Ashwagandha Baked - Nourish You,Sweeteners,"Honey, Neem, Ashwagandha",Baked,Yes,Yes,220.97,203,4.8,Nourish You,Nepal,Yes,2025-07-01,No,Have decide environment view possible participant commercial rock.,Left establish understand read detail food.,Director allow firm environment.
P004,Aloe Vera Tablet - Biotique,Beverages,"Amla, Aloe Vera, Honey",Tablet,No,Yes,367.06,43,4.5,Biotique,India,Yes,2025-07-01,Yes,Then fire pretty how trip learn enter east no enjoy once today human.,Young catch management sense technology check civil.,Others his other life edge network.
P005,Ginger Capsule - Organic Valley,Skincare,"Ginger, Cardamom, Green Tea",Capsule,No,No,144.28,156,4.6,Organic Valley,Australia,Yes,2025-07-01,Yes,Race Mr environment political born itself law.,Will seven medical blood personal success medical.,Check several much single morning.
P006,Honey Paste - Nature's Gold,Snacks,"Honey, Ginger, Tulsi",Paste,Yes,No,429.28,417,3.6,Nature's Gold,Nepal,No,2025-07-01,No,Food affect upon these story film around there water beat magazine attorney set.,Campaign little near enter their institution.,Up sense ready require human.
P007,Ashwagandha Soap - Patanjali,Grocery,"Jaggery, Tulsi, Green Tea, Ashwagandha",Soap,No,No,114.29,91,3.9,Patanjali,Australia,No,2025-07-01,No,Just military building different full open discover detail audience piece.,Attack all form method everything magazine much.,Office drug list imagine behind probably great.
P008,Aloe Vera Soap - Himalaya,Supplements,"Neem, Aloe Vera",Soap,Yes,Yes,437.5,98,4.4,Himalaya,Australia,Yes,2025-07-01,No,Tell approach president position art rock song body court movie cell.,Everything economic type kitchen technology nearly.,Present music address.
P009,Jaggery Powder - Himalaya,Baby Care,"Aloe Vera, Honey, Jaggery",Powder,Yes,No,395.87,194,3.7,Himalaya,Sri Lanka,No,2025-07-01,Yes,Coach magazine degree husband around her world enter six.,Expect recent room situation product main couple design around.,Article finish anyone live try most arm.
P010,Pepper Tea Bags - Patanjali,Skincare,"Pepper, Neem, Aloe Vera, Amla",Tea Bags,Yes,Yes,218.26,102,4.3,Patanjali,India,No,2025-07-01,No,Surface attention attack technology identify walk now.,Organization people information on mission various daughter respond draw how.,Lead upon very act perform.
P011,Jaggery Tea Bags - Organic Valley,Beverages,"Jaggery, Cardamom, Pepper",Tea Bags,Yes,Yes,158.39,310,4.9,Organic Valley,USA,Yes,2025-07-01,Yes,Available defense enter value thing these hard.,Just myself few worker southern more.,Federal professional voice care break blood network.
P012,Honey Oil - Organic India,Snacks,"Neem, Honey, Aloe Vera, Flax Seeds",Oil,Yes,Yes,370.83,224,5.0,Organic India,USA,No,2025-07-01,Yes,Painting response data plant enough major town suffer begin.,Stop analysis four capital woman claim kind relationship night.,Away third tough nation.
P013,Green Tea Tablet - 24 Mantra,Grocery,"Green Tea, Turmeric",Tablet,Yes,Yes,53.24,382,4.4,24 Mantra,India,Yes,2025-07-01,No,Need involve among half value win always group radio project government nice themselves.,See understand door class son computer include conference under site in.,Environment skin blue the teach.
P014,Honey Soap - Farm Bee,Hair Care,"Honey, Ginger",Soap,Yes,Yes,375.51,471,4.4,Farm Bee,Sri Lanka,No,2025-07-01,No,Staff least figure somebody dinner age cover foreign.,Whom evidence political hundred wonder.,Former agree theory end oil worker although.
P015,Ginger Baked - Organic Valley,Beverages,"Ginger, Ragi",Baked,No,No,260.16,393,3.6,Organic Valley,India,No,2025-07-01,No,Generation skill job worker break tonight couple and job mind southern.,Hair attorney professional form finish summer.,Medical project for recent never.
P016,Ashwagandha Soap - Organic Valley,Grocery,"Ashwagandha, Aloe Vera",Soap,Yes,No,132.57,256,3.9,Organic Valley,USA,Yes,2025-07-01,Yes,Professor here security community notice image street fight decision size parent.,Let kind degree list top somebody college be.,Professional people behavior weight dog financial southern.
P017,Ragi Soap - Himalaya,Beverages,"Neem, Ragi",Soap,No,Yes,439.09,482,3.6,Himalaya,India,No,2025-07-01,No,Animal worker particularly shoulder lay though.,Create recent manager during prevent accept seem show blood interesting.,Sound receive let newspaper.
P018,Tulsi Paste - Nourish You,Skincare,"Tulsi, Jaggery, Pepper",Paste,No,Yes,135.45,131,5.0,Nourish You,Australia,Yes,2025-07-01,No,Card let most next fish sense kind spring throughout interview trade.,Today season listen else easy point she miss phone.,Key require doctor from throw.
P019,Coconut Powder - 24 Mantra,Spices,"Coconut, Aloe Vera, Cardamom, Neem",Powder,Yes,Yes,80.83,54,4.5,24 Mantra,USA,Yes,2025-07-01,Yes,Character him check degree increase former letter.,Deal information toward once receive.,Herself accept goal send table well industry.
P020,Ginger Tablet - Biotique,Baby Care,"Ragi, Ginger",Tablet,No,No,141.92,386,4.0,Biotique,USA,Yes,2025-07-01,No,Today major event magazine home protect something right subject try wonder move trade.,North agree poor career left anyone here deep force seven.,Everything week instead strong like see.
P021,Coconut Tablet - Organic India,Supplements,"Turmeric, Coconut",Tablet,Yes,Yes,291.94,279,3.9,Organic India,India,Yes,2025-07-01,No,Difference attention whatever American all easy stuff perform draw list.,Nor design record short cold.,White responsibility sing clearly find official up office.
P022,Tulsi Tea Bags - Khadi Naturals,Personal Care,"Cardamom, Aloe Vera, Tulsi",Tea Bags,Yes,No,469.29,73,4.9,Khadi Naturals,Nepal,Yes,2025-07-01,Yes,Walk cup option store drug recent feeling range south someone not.,Girl into have media game.,State black whether player stock religious.
P023,Honey Tablet - Patanjali,Hair Care,"Honey, Jaggery",Tablet,Yes,No,141.62,344,4.8,Patanjali,USA,No,2025-07-01,Yes,Safe whole establish space Mrs low itself room.,Focus early various everything late seek now.,From management foot maintain great election.
P024,Green Tea Capsule - Patanjali,Sweeteners,"Turmeric, Jaggery, Green Tea",Capsule,No,Yes,383.55,302,4.6,Patanjali,India,Yes,2025-07-01,Yes,Red everybody act way beat result major serve real position make society behavior.,Identify during professional hard network gas you.,Former reflect even edge building court build.
P025,Turmeric Paste - Nature's Gold,Personal Care,"Turmeric, Cardamom, Green Tea, Flax Seeds",Paste,Yes,No,107.35,177,4.0,Nature's Gold,Nepal,Yes,2025-07-01,Yes,Course school everybody operation set others wonder strategy.,Dinner conference add move ever window network.,Point sell bill activity.
P026,Flax Seeds Capsule - Himalaya,Supplements,"Jaggery, Cardamom, Ragi, Flax Seeds",Capsule,Yes,Yes,489.29,435,3.8,Himalaya,India,Yes,2025-07-01,No,Long future whole education technology box assume man officer rather charge specific.,Be easy newspaper indicate other peace simply.,Late kind team wrong figure perform.
P027,Neem Liquid - Farm Bee,Grocery,"Neem, Pepper, Tulsi",Liquid,No,Yes,436.37,133,3.8,Farm Bee,Nepal,No,2025-07-01,Yes,Way debate decision produce church community avoid.,Impact ready like allow.,Religious reflect law reach under.
P028,Green Tea Liquid - Patanjali,Spices,"Ashwagandha, Ragi, Green Tea, Honey",Liquid,No,No,338.67,224,4.5,Patanjali,Nepal,Yes,2025-07-01,Yes,Product value interesting name positive training step author coach film see notice eye.,Light fight I evening music just.,Always it focus economy before while structure offer.
P029,Flax Seeds Oil - Nourish You,Personal Care,"Honey, Turmeric, Amla, Flax Seeds",Oil,No,No,246.38,281,3.7,Nourish You,Sri Lanka,No,2025-07-01,Yes,Office several compare million kind everything young job sport.,Like impact fly bit claim.,Really explain war spend nearly lawyer.
P030,Aloe Vera Gel - Nourish You,Spices,"Jaggery, Pepper, Aloe Vera, Ginger",Gel,No,No,81.49,360,4.9,Nourish You,Nepal,Yes,2025-07-01,No,Follow wife identify method write price my including could.,Performance material kind appear environment capital explain thing.,Building win participant dream citizen nearly need.
P031,Honey Paste - Khadi Naturals,Sweeteners,"Ragi, Tulsi, Honey",Paste,Yes,Yes,239.2,214,4.5,Khadi Naturals,Australia,No,2025-07-01,No,Yeah tree left brother strategy marriage respond meeting.,Indeed lot line lead certain course out.,Tell everybody so increase.
P032,Ragi Tablet - Farm Bee,Spices,"Honey, Ashwagandha, Ragi",Tablet,No,No,248.8,365,3.8,Farm Bee,Sri Lanka,Yes,2025-07-01,No,Star executive fear only your majority chance Mrs generation.,Several help usually thank wonder draw him task improve fish.,Relate specific history professional star wonder manager.
P033,Cardamom Gel - 24 Mantra,Baby Care,"Amla, Cardamom, Pepper",Gel,No,Yes,412.95,95,3.5,24 Mantra,USA,Yes,2025-07-01,No,Maybe opportunity thank them key moment lead.,Improve pressure child light wide full.,Power system system teacher here first.
P034,Jaggery Oil - Organic Valley,Baby Care,"Tulsi, Jaggery",Oil,No,No,159.79,355,4.5,Organic Valley,USA,Yes,2025-07-01,Yes,Along attention piece TV young section its better plant their kitchen really.,Animal someone fall hear certainly.,Include radio conference company participant him raise.
P035,Coconut Capsule - Patanjali,Spices,"Ashwagandha, Cardamom, Amla, Coconut",Capsule,No,No,477.52,476,4.2,Patanjali,USA,No,2025-07-01,Yes,Central leave effect effort act source top quality citizen kid generation onto police.,Real lead few yourself table blood high grow fast.,Against stop how account ten.
P036,Ginger Tea Bags - 24 Mantra,Snacks,"Pepper, Ashwagandha, Ginger",Tea Bags,No,Yes,173.57,59,4.6,24 Mantra,Nepal,No,2025-07-01,No,Seat strategy total simply discover soon despite couple economy sense should race carry.,Tough position final kid often.,Bed far section compare.
P037,Ashwagandha Oil - Farm Bee,Beverages,"Neem, Ashwagandha",Oil,Yes,Yes,78.9,228,4.0,Farm Bee,USA,Yes,2025-07-01,Yes,Theory hand maybe evening clearly trial want whose far that sound life.,Cell whom team right woman.,Hand so add Mr lawyer pull public.
P038,Turmeric Oil - Himalaya,Sweeteners,"Tulsi, Turmeric, Pepper, Flax Seeds",Oil,No,Yes,474.23,172,4.6,Himalaya,Australia,Yes,2025-07-01,No,State wait board doctor agent this no trip determine as.,Travel few impact cause watch fight manage best thought.,Home he we recent.
P039,Ragi Baked - Nourish You,Skincare,"Coconut, Turmeric, Ragi",Baked,No,Yes,428.23,490,3.7,Nourish You,Australia,Yes,2025-07-01,No,Onto risk those pressure street past voice evidence real describe know.,Talk between rate name within grow huge.,Why we station begin deep.
P040,Ginger Capsule - Farm Bee,Baby Care,"Turmeric, Amla, Ginger, Ragi",Capsule,No,Yes,72.63,214,4.0,Farm Bee,Nepal,No,2025-07-01,No,Wife anything four writer skin day stop never only spend do similar small.,Able teach certain candidate economy company produce ago address so.,Open administration enter camera inside.
P041,Cardamom Powder - Nature's Gold,Sweeteners,"Cardamom, Amla, Coconut",Powder,Yes,No,150.9,55,4.7,Nature's Gold,India,Yes,2025-07-01,Yes,Live sing message board mean war.,Road training probably feeling poor.,Article look husband.
P042,Neem Soap - Khadi Naturals,Baby Care,"Ashwagandha, Neem",Soap,Yes,Yes,259.27,151,4.7,Khadi Naturals,Australia,Yes,2025-07-01,Yes,Republican kitchen tonight focus chance call person one Republican herself our far.,Painting between reduce table prepare shoulder result Democrat later.,Including still human role fine.
P043,Turmeric Oil - 24 Mantra,Beverages,"Turmeric, Honey, Flax Seeds, Ginger",Oil,No,Yes,84.2,373,4.7,24 Mantra,India,No,2025-07-01,Yes,Hear check type attack story behavior benefit school speech.,Art what no prove improve them wait institution trouble anything.,Outside goal official defense prevent.
P044,Amla Paste - Himalaya,Supplements,"Ragi, Ginger, Green Tea, Amla",Paste,No,Yes,432.31,441,4.2,Himalaya,Nepal,No,2025-07-01,Yes,Glass news boy everything difficult investment night.,Party poor ago upon stop environment Congress reflect finally fund accept.,Not husband center plan.
P045,Flax Seeds Paste - Organic India,Personal Care,"Aloe Vera, Ginger, Honey, Flax Seeds",Paste,No,No,246.01,394,4.4,Organic India,Sri Lanka,Yes,2025-07-01,No,Second Democrat information game have return since.,Other third choose senior anyone bank kitchen interest parent increase.,Sense box involve exist question.
P046,Jaggery Oil - 24 Mantra,Grocery,"Flax Seeds, Jaggery, Ginger",Oil,No,Yes,272.44,186,3.8,24 Mantra,Nepal,No,2025-07-01,No,Project animal house out account feeling deep case eight foreign account section.,Can mouth discover next property government.,Technology amount affect TV television office.
P047,Jaggery Paste - 24 Mantra,Baby Care,"Jaggery, Honey, Aloe Vera, Turmeric",Paste,Yes,Yes,158.61,228,4.2,24 Mantra,USA,No,2025-07-01,No,Remember individual boy again foot soon peace story turn because such.,Job hundred bad that second develop single.,Member box member town.
P048,Ragi Gel - Patanjali,Beverages,"Ashwagandha, Ragi, Tulsi",Gel,No,No,262.97,291,4.0,Patanjali,Nepal,No,2025-07-01,No,Road standard spring door chair culture own set pretty concern.,Management senior service large under north play person ten physical character.,Light place someone option.
P049,Tulsi Gel - 24 Mantra,Skincare,"Ashwagandha, Amla, Tulsi",Gel,No,Yes,384.3,410,4.5,24 Mantra,Sri Lanka,No,2025-07-01,No,Avoid left also hard expert popular within bed order his oil west.,Last special prepare focus little.,Whatever late specific study.
P050,Amla Tea Bags - Khadi Naturals,Baby Care,"Flax Seeds, Honey, Amla, Ashwagandha",Tea Bags,Yes,No,130.75,27,4.6,Khadi Naturals,Nepal,Yes,2025-07-01,Yes,Position always remain yard model particular hair truth hold simple quickly appear.,Positive at behind question exist rich prevent trade their four old.,True financial prevent product.
P051,Cardamom Powder - Nature's Gold,Personal Care,"Cardamom, Pepper, Coconut, Amla",Powder,No,No,265.42,194,3.8,Nature's Gold,Nepal,No,2025-07-01,Yes,Remember be next poor foreign campaign reflect water young treatment behavior provide meet.,Guy Congress degree way.,Court yourself choice fast small medical music.
P052,Ginger Powder - 24 Mantra,Sweeteners,"Amla, Flax Seeds, Ginger",Powder,Yes,Yes,415.01,175,3.6,24 Mantra,India,No,2025-07-01,Yes,Product then peace others child Congress.,Speak close join improve put down know expect security large move.,Whole six tough create question.
P053,Honey Tablet - Organic Valley,Sweeteners,"Jaggery, Coconut, Honey",Tablet,No,No,305.88,50,4.4,Organic Valley,Sri Lanka,Yes,2025-07-01,No,Left example high month whom stage soon catch economic political them.,Various represent middle by base civil last message store begin.,Stage this us increase how.
P054,Neem Paste - Farm Bee,Beverages,"Ashwagandha, Neem",Paste,Yes,Yes,51.2,250,4.5,Farm Bee,Nepal,Yes,2025-07-01,Yes,History bank different five between research friend certainly although.,Receive catch relationship large accept bad eight strong nature.,Month book explain feeling answer information soldier lead.
P055,Cardamom Gel - Khadi Naturals,Skincare,"Cardamom, Coconut, Amla, Ginger",Gel,No,Yes,241.31,298,3.8,Khadi Naturals,Nepal,Yes,2025-07-01,Yes,Others administration middle drop century investment pass drive indicate professor beat window.,Well name skill medical after.,Analysis hit health section ground attack drop.
P056,Flax Seeds Tea Bags - Biotique,Personal Care,"Flax Seeds, Tulsi, Jaggery",Tea Bags,No,Yes,260.91,175,4.5,Biotique,Australia,No,2025-07-01,No,Billion old series card good full poor store range wonder long consider care respond.,Already cut social though firm financial huge spring list.,Send course ground.
P057,Jaggery Baked - Nourish You,Baby Care,"Jaggery, Ragi",Baked,No,Yes,91.1,365,4.8,Nourish You,Australia,Yes,2025-07-01,No,Event son join hundred keep what fund cost reality happen.,Entire bar interesting issue yet Congress family bill foreign fast.,Owner international ready goal amount thank good.
P058,Ginger Tea Bags - Farm Bee,Personal Care,"Aloe Vera, Ginger, Coconut",Tea Bags,Yes,No,335.65,271,5.0,Farm Bee,Nepal,No,2025-07-01,No,Police social arm provide image message seek civil all.,Question just call door population gun we allow check last.,Head several off morning huge power.
P059,Green Tea Soap - Organic Valley,Beverages,"Green Tea, Ragi",Soap,No,No,416.1,301,3.6,Organic Valley,Nepal,No,2025-07-01,No,Ago control military trial brother simple region.,You experience trouble make but table.,Common require young specific whose worry property.
P060,Ginger Soap - Farm Bee,Sweeteners,"Cardamom, Turmeric, Ginger, Aloe Vera",Soap,No,Yes,134.41,205,4.4,Farm Bee,USA,Yes,2025-07-01,Yes,My through surface Republican until point soldier meeting building cut catch so ago.,Occur level work candidate this assume huge response long improve.,Statement available win politics last quite.
P061,Honey Soap - 24 Mantra,Hair Care,"Jaggery, Honey",Soap,No,Yes,62.99,342,4.4,24 Mantra,Sri Lanka,No,2025-07-01,Yes,There sister policy consider whom item treat.,Story million fight class various.,Generation wait thus suffer economy.
P062,Cardamom Soap - Biotique,Beverages,"Cardamom, Amla",Soap,Yes,Yes,274.27,386,3.9,Biotique,USA,No,2025-07-01,No,Ever person pass behavior political option oil commercial person top front under American.,Ball we side enough decision.,Indicate police marriage phone face what lot.
P063,Ashwagandha Paste - Organic India,Snacks,"Neem, Ragi, Ashwagandha, Flax Seeds",Paste,Yes,Yes,174.31,424,4.8,Organic India,Australia,No,2025-07-01,Yes,Law read citizen indeed less future century technology floor.,Wish candidate have no five letter environment easy.,Anything war ten industry.
P064,Neem Soap - Farm Bee,Skincare,"Flax Seeds, Ginger, Coconut, Neem",Soap,No,No,199.6,410,4.3,Farm Bee,Nepal,Yes,2025-07-01,Yes,Value return couple city you level these market bed hotel.,Whom Democrat good anything manager think pressure like Mr.,Issue think road shake.
P065,Tulsi Soap - Khadi Naturals,Grocery,"Turmeric, Green Tea, Tulsi",Soap,No,No,494.79,425,4.7,Khadi Naturals,USA,Yes,2025-07-01,Yes,Hundred now crime network available mean.,Evidence writer quite budget window hour some fund voice sense.,Own husband American although require.
P066,Amla Liquid - Khadi Naturals,Baby Care,"Cardamom, Amla, Coconut",Liquid,No,Yes,375.1,229,4.8,Khadi Naturals,India,No,2025-07-01,No,Lead paper middle foreign party class wrong school federal from stock mother.,Feel staff happy purpose woman on someone rise read ago.,Enter pretty will official dinner anything lose.
P067,Amla Paste - Patanjali,Baby Care,"Ragi, Ginger, Amla, Green Tea",Paste,No,No,332.06,474,4.6,Patanjali,India,Yes,2025-07-01,Yes,Return simple herself start drug occur red course kid industry include data maybe particularly.,Their save artist catch debate foot production moment finish.,Least mouth national put.
P068,Jaggery Liquid - Organic India,Grocery,"Amla, Ragi, Jaggery, Ginger",Liquid,No,Yes,362.3,482,3.5,Organic India,India,No,2025-07-01,No,Particular court east newspaper different win father eye debate.,First give value somebody event business quality here woman.,West source fact explain research get.
P069,Ashwagandha Oil - Nourish You,Sweeteners,"Ashwagandha, Aloe Vera",Oil,Yes,Yes,128.78,332,4.8,Nourish You,Sri Lanka,No,2025-07-01,Yes,Section degree still even no even body scientist dream.,Prove most point appear including.,Beyond side accept nearly upon imagine various.
P070,Jaggery Powder - Organic India,Snacks,"Honey, Coconut, Jaggery, Ginger",Powder,No,No,354.92,100,3.6,Organic India,Australia,No,2025-07-01,No,Practice sense expert experience arrive shoulder present discussion school sure also TV.,Think compare try young however many view while unit.,Across nothing blue.
P071,Ashwagandha Liquid - Biotique,Snacks,"Ashwagandha, Ragi, Coconut",Liquid,Yes,No,307.37,314,3.9,Biotique,India,No,2025-07-01,No,Lawyer political modern threat care mean evening speak former.,Possible responsibility add front far purpose cover particularly police.,Still middle beautiful protect continue cell.
P072,Pepper Soap - 24 Mantra,Baby Care,"Pepper, Tulsi, Turmeric, Flax Seeds",Soap,No,Yes,323.18,200,3.8,24 Mantra,Australia,No,2025-07-01,Yes,According himself land environment form old of end growth.,Artist brother fill if maybe time region.,Real police wait happen determine.
P073,Turmeric Tablet - Himalaya,Spices,"Pepper, Coconut, Turmeric",Tablet,No,Yes,90.56,171,4.0,Himalaya,Sri Lanka,Yes,2025-07-01,Yes,Check security paper indeed near likely Mr professional despite easy senior their.,Moment month gun true born.,Total dark Mr clearly take kind quite.
P074,Aloe Vera Soap - Khadi Naturals,Supplements,"Aloe Vera, Honey, Neem, Cardamom",Soap,No,No,411.9,259,4.9,Khadi Naturals,Sri Lanka,No,2025-07-01,No,Before member speak law message lead around left southern rich how staff.,Official and general as yes various.,Worry line expert conference.
P075,Aloe Vera Liquid - Himalaya,Sweeteners,"Honey, Aloe Vera",Liquid,No,No,352.77,364,3.9,Himalaya,Nepal,Yes,2025-07-01,Yes,Hear through large true help bag who themselves card team budget.,Hotel camera without strong series without leg rest interest here.,Easy get every visit right.
P076,Green Tea Gel - Organic Valley,Spices,"Jaggery, Aloe Vera, Green Tea, Flax Seeds",Gel,Yes,No,459.22,174,4.5,Organic Valley,Sri Lanka,Yes,2025-07-01,Yes,Special information she this administration deal.,Order land public the each.,I doctor describe.
P077,Amla Paste - Patanjali,Snacks,"Amla, Ashwagandha",Paste,Yes,No,254.14,363,4.9,Patanjali,USA,Yes,2025-07-01,No,Mean eye staff rule five our pull.,Down then worry miss including every news option.,Personal interview many win.
P078,Tulsi Baked - Organic Valley,Snacks,"Ragi, Honey, Turmeric, Tulsi",Baked,Yes,No,250.11,140,4.8,Organic Valley,Nepal,No,2025-07-01,Yes,Skill five indicate chance heavy senior list support feeling remain.,Trip none whose newspaper care drug data position two.,Begin right couple environmental purpose owner.
P079,Amla Soap - Nature's Gold,Skincare,"Amla, Cardamom",Soap,Yes,Yes,338.77,325,5.0,Nature's Gold,Nepal,Yes,2025-07-01,Yes,Source onto provide describe decade trade field training.,View while bring yourself look drug.,Region however dream focus executive letter possible final.
P080,Ashwagandha Baked - Patanjali,Beverages,"Ashwagandha, Flax Seeds, Jaggery, Pepper",Baked,Yes,Yes,174.77,94,5.0,Patanjali,Nepal,Yes,2025-07-01,Yes,Third letter sort reveal seven floor data fine animal ten scientist administration.,Various often individual charge form here street material pressure range.,Shake major rich science leave.
P081,Pepper Gel - Himalaya,Personal Care,"Green Tea, Pepper",Gel,No,Yes,128.41,46,3.7,Himalaya,Australia,Yes,2025-07-01,Yes,Cause national contain threat wrong whatever model stuff.,War property share include successful.,Attack character despite lay art.
P082,Aloe Vera Soap - Patanjali,Snacks,"Aloe Vera, Flax Seeds, Amla",Soap,Yes,Yes,377.26,485,4.8,Patanjali,Nepal,No,2025-07-01,Yes,Tree process administration mother in admit reveal movie expert maybe recently issue vote.,Blood benefit chance court money spring.,Some bad where learn during.
P083,Ginger Soap - Organic Valley,Snacks,"Ragi, Ginger, Amla",Soap,No,Yes,454.67,184,4.4,Organic Valley,Sri Lanka,No,2025-07-01,No,Range summer president teach service behavior here need argue.,Reflect bar suddenly population.,Not teach believe month amount deep.
P084,Coconut Oil - Patanjali,Baby Care,"Honey, Coconut, Aloe Vera, Flax Seeds",Oil,Yes,Yes,433.76,353,4.8,Patanjali,Sri Lanka,No,2025-07-01,No,Even under range exactly myself probably conference sure administration debate certain star.,Up federal nor note support quality music himself.,So ready bad seat.
P085,Cardamom Oil - Khadi Naturals,Sweeteners,"Cardamom, Coconut, Ragi",Oil,Yes,No,242.04,360,3.9,Khadi Naturals,USA,Yes,2025-07-01,Yes,Best discussion away painting pass other.,Ahead event yeah make green wait it quickly.,Beat peace something require bank child.
P086,Cardamom Baked - Organic Valley,Beverages,"Amla, Tulsi, Cardamom",Baked,Yes,Yes,313.91,307,4.3,Organic Valley,USA,No,2025-07-01,No,Science first blood accept final growth especially.,Beautiful issue news mention billion bed.,Behavior our foot history factor hold be.
P087,Honey Liquid - Organic India,Spices,"Flax Seeds, Honey, Green Tea",Liquid,Yes,Yes,345.53,134,4.8,Organic India,Australia,No,2025-07-01,Yes,Occur college herself catch feeling manage as itself inside.,Site guess want result many pattern leader career according.,Forward per sound forget friend spring.
P088,Pepper Paste - Biotique,Baby Care,"Pepper, Ragi",Paste,Yes,No,63.03,159,4.6,Biotique,Nepal,No,2025-07-01,Yes,Carry fly water cut fire who why fact reason make office drug heavy.,Half usually customer young conference should agree road.,Just fact realize standard somebody.
P089,Ginger Powder - Organic India,Personal Care,"Ginger, Ragi, Amla, Neem",Powder,Yes,Yes,219.29,252,4.0,Organic India,Nepal,No,2025-07-01,Yes,Cause field education child institution help last our old move type thank.,Myself so growth time Mr point be shoulder price.,Coach partner none population position whom.
P090,Pepper Powder - Farm Bee,Personal Care,"Pepper, Flax Seeds",Powder,Yes,No,249.4,237,4.2,Farm Bee,USA,No,2025-07-01,Yes,Black better develop section newspaper reach determine hear leg quickly real.,General agency bit indeed which break.,Give gas six miss.
P091,Amla Tablet - Nature's Gold,Supplements,"Amla, Honey, Ginger",Tablet,No,No,70.44,222,5.0,Nature's Gold,India,Yes,2025-07-01,No,Best reveal laugh attack and represent against gas body son upon scientist.,Company civil nice when discussion if continue policy it ahead.,Third last involve above Democrat everything region somebody.
P092,Green Tea Powder - 24 Mantra,Personal Care,"Honey, Green Tea, Amla",Powder,No,No,129.06,214,4.3,24 Mantra,Australia,No,2025-07-01,Yes,Son Mr hand culture box provide majority.,Others particularly only girl suddenly pay sport relationship.,Try opportunity public finish draw.
P093,Amla Baked - Himalaya,Spices,"Turmeric, Coconut, Amla",Baked,No,No,369.27,233,3.9,Himalaya,India,No,2025-07-01,Yes,Health center home others offer institution main Mr.,Never majority cell fire late approach.,Weight machine crime himself no president.
P094,Green Tea Liquid - Biotique,Snacks,"Jaggery, Green Tea, Amla, Ragi",Liquid,Yes,No,314.99,288,3.6,Biotique,Nepal,Yes,2025-07-01,No,Indeed style major bar air set factor ever Mrs collection leader score.,Near both box simple statement happen state among rest.,Despite interesting save president easy themselves allow.
P095,Aloe Vera Gel - Khadi Naturals,Beverages,"Ginger, Amla, Aloe Vera, Pepper",Gel,No,No,377.32,439,4.5,Khadi Naturals,Sri Lanka,Yes,2025-07-01,Yes,Television beautiful tend bring speech decide scene ready technology particular.,Coach cause deal deal arrive go exactly much food.,Eye environment teach world quickly.
P096,Flax Seeds Liquid - Farm Bee,Grocery,"Flax Seeds, Neem",Liquid,Yes,No,258.78,308,4.6,Farm Bee,Australia,No,2025-07-01,No,While size try yeah term camera tend.,Chair focus easy such hotel central plan.,Increase later plant they behavior middle everything view.
P097,Jaggery Tea Bags - Farm Bee,Snacks,"Coconut, Jaggery",Tea Bags,No,Yes,208.37,57,4.0,Farm Bee,India,Yes,2025-07-01,No,Wear force able similar run room learn professional group as move.,Why station manager follow exist natural.,Not magazine gas radio.
P098,Flax Seeds Tablet - Nature's Gold,Beverages,"Cardamom, Jaggery, Amla, Flax Seeds",Tablet,No,No,311.15,425,4.6,Nature's Gold,USA,Yes,2025-07-01,No,Between six least buy tax kid.,Yeah into yet travel.,City usually ever pressure economy.
P099,Coconut Liquid - Farm Bee,Hair Care,"Turmeric, Coconut",Liquid,No,Yes,277.05,108,3.6,Farm Bee,USA,Yes,2025-07-01,No,Appear personal rise sense investment before believe degree.,Car difficult quite act receive.,Write institution car audience.
P100,Pepper Tablet - Himalaya,Skincare,"Ragi, Pepper, Green Tea",Tablet,Yes,No,79.66,68,4.3,Himalaya,Nepal,No,2025-07-01,Yes,Room bill finish thing case similar send.,Political quality attention none particular clearly.,Reveal physical character in rather team.
